term,definition,source,page
Bheda-abheda,Difference and non-difference; a system of philosophy in which the individual is different from and one with the Supreme Soul.,Glossary_Sanskrit_Terms.pdf,38
Bheda-ahamkara,The differentiating ego; sense of separateness.,Glossary_Sanskrit_Terms.pdf,38
Bheda-buddhi,"The intellect that creates differences, the Vyavaharika Buddhi that diversifies everything as opposed to Paramarthika Buddhi that unifies everything..",Glossary_Sanskrit_Terms.pdf,38
Bheda-jnana,Consciousness of difference; worldly consciousness.,Glossary_Sanskrit_Terms.pdf,39
Bhiantisukha,Illusory pleasure; deluding happiness.,Glossary_Sanskrit_Terms.pdf,39
Bhiksha,Alms.,Glossary_Sanskrit_Terms.pdf,39
Bhikshu,Monk; mendicant; Sannyasin.,Glossary_Sanskrit_Terms.pdf,39
Bhinna,Different; cut off; broken; variegated.,Glossary_Sanskrit_Terms.pdf,39
Bhoga,Experience; perception; enjoyment.,Glossary_Sanskrit_Terms.pdf,39
Bhogabhumi,Land of experience or enjoyment.,Glossary_Sanskrit_Terms.pdf,39
Bhogya,Object of experience or enjoyment.,Glossary_Sanskrit_Terms.pdf,39
Bhokta,Subject of experience or enjoyment.,Glossary_Sanskrit_Terms.pdf,39
Bhoktritva,The state of being an experiencer or enjoyer.,Glossary_Sanskrit_Terms.pdf,39
Bhrama,Illusion; delusion; rotation; wandering.,Glossary_Sanskrit_Terms.pdf,39
Bhramara-kita-nyaya,"The analogy of the wasp and the caterpillar, which states how the caterpillar gets transformed into a wasp by intense thinking of the latter. Even so, the Jiva becomes Brahman itself by meditating intensely on the latter. (See also Arundhati-nyaya.)",Glossary_Sanskrit_Terms.pdf,39
Bhramsa,A definite fall from the principle of Yoga.,Glossary_Sanskrit_Terms.pdf,39
Bhranti,Delusion; wrong notion; false idea or impression.,Glossary_Sanskrit_Terms.pdf,39
Bhrantidarsana,Mistaken notion.,Glossary_Sanskrit_Terms.pdf,39
Bhrantija,Born of delusion or misconception.,Glossary_Sanskrit_Terms.pdf,39
Bhrantimatra,Mere illusion or delusion.,Glossary_Sanskrit_Terms.pdf,39
Bhrashta,Fallen from the way of Yoga.,Glossary_Sanskrit_Terms.pdf,39
Bhrukuti,Space between the eyebrows.,Glossary_Sanskrit_Terms.pdf,39
Bhrumadhya-drishti,Gaze at the space midway between the eyebrows.,Glossary_Sanskrit_Terms.pdf,39
Bhuh,The earth-plane.,Glossary_Sanskrit_Terms.pdf,39
Bhujangasana,Cobra pose of the Hatha Yogin.,Glossary_Sanskrit_Terms.pdf,39
Bhukti,Material enjoyment.,Glossary_Sanskrit_Terms.pdf,39
Bhuma,The unconditioned; infinite; Brahman.,Glossary_Sanskrit_Terms.pdf,40
Bhumika,Step or stage; state; degree.,Glossary_Sanskrit_Terms.pdf,40
Bhuta,What has come into being; an entity as opposed to the unmanifested; any of the five elementary constituents of the universe; element or elemental.,Glossary_Sanskrit_Terms.pdf,40
Bhuta-bhavishyad-vartamana,"Past, future and present.",Glossary_Sanskrit_Terms.pdf,40
Bhutadi,"Tamasa Ahamkara, according to Vishnu Purana.",Glossary_Sanskrit_Terms.pdf,40
Bhutajanya,Born of the elements.,Glossary_Sanskrit_Terms.pdf,40
Bhutajaya,Conquest over the elements or the body.,Glossary_Sanskrit_Terms.pdf,40
Bhutapati,The Lord of beings; a name of Siva.,Glossary_Sanskrit_Terms.pdf,40
Bhutasakti,Power in matter; subtle material elements; permanent atoms; Bhutatanmatras or the root elements of matter.,Glossary_Sanskrit_Terms.pdf,40
Bhutasiddhi,Perfect control over the elements and the body.,Glossary_Sanskrit_Terms.pdf,40
Bhutasuddhi,Purification of the elements of the body.,Glossary_Sanskrit_Terms.pdf,40
Bhutatma,The lower self.,Glossary_Sanskrit_Terms.pdf,40
Bhutayajna,An offering to the sub-human creatures; one of the five daily sacrificial rites enjoined on the Hindu householder.,Glossary_Sanskrit_Terms.pdf,40
Bhuvah,The higher etheric or the astral world.,Glossary_Sanskrit_Terms.pdf,40
Bhuvana,World.,Glossary_Sanskrit_Terms.pdf,40
Bija,Seed; source.,Glossary_Sanskrit_Terms.pdf,40
Bijakshara,The root-letter or the seed-letter in which there is the latent power of a Mantra.,Glossary_Sanskrit_Terms.pdf,40
Bijatma,"The subtle inner Self-, also called Sukshmatma, Sutratma or Antaryamin.",Glossary_Sanskrit_Terms.pdf,40
Bimba,Original; (Brahman).,Glossary_Sanskrit_Terms.pdf,40
Bimba-pratibimba-vada,The doctrine that the Jiva is a reflection of Brahman; Jiva who is the reflecti of Brahman is,Glossary_Sanskrit_Terms.pdf,40
Bindu,"Point; dot; seed; source; the basis from which emanated the first principle, Mahat-tattva, according to th Tantra-Sastra.",Glossary_Sanskrit_Terms.pdf,41
Bindu-jagrat,The first Ajnana-Bhumika.,Glossary_Sanskrit_Terms.pdf,41
Boddhavya-lakshana,That which is to be known.,Glossary_Sanskrit_Terms.pdf,41
Bodha,Spiritual wisdom; knowledge; intelligence.,Glossary_Sanskrit_Terms.pdf,41
Bodhaikata,Oneness of consciousness.,Glossary_Sanskrit_Terms.pdf,41
Brahma,God as creator; the first of the created beings. Hiranyagarbha or cosmic intelligence.,Glossary_Sanskrit_Terms.pdf,41
Brahma-bhava(na),"Feeling of identity with Brahman, as well as of everything as Brahman.",Glossary_Sanskrit_Terms.pdf,41
Brahmabhuta,One who has become Brahman.,Glossary_Sanskrit_Terms.pdf,41
Brahmabhyasa,"Meditation on Brahman; Nididhyasana; reflection on Brahman; conversing on Brahman; discussing about Brahman; etc., that is calculated to the realisation of Brahman.",Glossary_Sanskrit_Terms.pdf,41
Brahmachari,Celibate; one who belongs to the first of the four Asramas or orders of life; one who lives in purity and studies the Veda.,Glossary_Sanskrit_Terms.pdf,41
Brahmacharya,"The first stage of the Hindu’s life, viz., celibate student’s life.",Glossary_Sanskrit_Terms.pdf,41
Brahmacharya-asrama,Order of the students engaged in the study of the Vedas and the service of the Guru or the preceptor.,Glossary_Sanskrit_Terms.pdf,41
Brahma-chintana,Constant meditation on Brahman.,Glossary_Sanskrit_Terms.pdf,41
Brahmadvara,Door to Brahman; the entrance and exit of Kundalini in the passage to and from Siva.,Glossary_Sanskrit_Terms.pdf,41
Brahma-granthi,The knot of ignorance at the Muladhara Chakra.,Glossary_Sanskrit_Terms.pdf,42
Brahma-jnana,Direct knowledge of Brahman.,Glossary_Sanskrit_Terms.pdf,42
Brahmakaravritti,The sole ultimate thought of Brahman alone to the exclusion of all other thoughts that is arrived at through intense Vedantic meditation.,Glossary_Sanskrit_Terms.pdf,42
Brahmaloka,The world of the four-headed creator.,Glossary_Sanskrit_Terms.pdf,42
Brahma-muhurta,Period of an hour and a half before sunrise.,Glossary_Sanskrit_Terms.pdf,42
Brahman,"The Akhandaikarasa Satchidananda, the Absolute Reality; the Truth proclaimed in the Upanishads; the Supreme Reality that is one and indivisible, infinite, and eternal; all-pervading, changeless Existence; Existence- knowledge-bliss Absolute; the substratum of Jiva, Isvara and Maya; Absolute Consciousness; it is not only all- powerful but all-power itself; not only all-knowing and blissful, but all-knowledge and bliss itself.",Glossary_Sanskrit_Terms.pdf,42
Brahmana,A section of each of the Vedas dwelling on the meaning and the use of the Vedic hymns; the first of the four Varnas or castes of Hindu social order; man of wisdom; a sage of Self-realisation.,Glossary_Sanskrit_Terms.pdf,42
Brahmanadi,Sushumna; Pranic current that flows through the spinal canal according to Hatha-Yoga.,Glossary_Sanskrit_Terms.pdf,42
Brahmananda,Bliss of the Infinite Absolute; supreme transcendental joy.,Glossary_Sanskrit_Terms.pdf,42
Brahmanda,Brahma’s egg; the macrocosm.,Glossary_Sanskrit_Terms.pdf,42
Brahma-nishtha,One who is established in the direct knowledge owledge of Brahman.,Glossary_Sanskrit_Terms.pdf,42
Brahmanubhava,Self-realisation; God-realisation; Absolute experience.,Glossary_Sanskrit_Terms.pdf,42
Brahmanusandhana,"Considering, thinking of, searching after, enquiring into, looking after, investigation exploration into the nature of Brahman; receiving of the Upadesa about Brahman and reflection upon it.",Glossary_Sanskrit_Terms.pdf,43
Brahma-parayana,One whose faith and sole refuge is in Brahman.,Glossary_Sanskrit_Terms.pdf,43
Brahma-randhra,Opening in the crown of the head; head- fontanelle.,Glossary_Sanskrit_Terms.pdf,43
Brahma-sakshatkara,Realisation of Brahman; direct experience of the Absolute Being.,Glossary_Sanskrit_Terms.pdf,43
Brahma-sakti,The power of the Supreme Being.,Glossary_Sanskrit_Terms.pdf,43
Brahma-samstha,Grounded in Brahman; Sannyasin.,Glossary_Sanskrit_Terms.pdf,43
Brahma-srotriya,He who has knowledge of the Vedas and the Upanishads.,Glossary_Sanskrit_Terms.pdf,43
Brahma-stithi (or Brahmisthiti),The establishment or dwelling in Brahman.,Glossary_Sanskrit_Terms.pdf,43
Brahma-tejas,The effulgent splendour of Brahman.,Glossary_Sanskrit_Terms.pdf,43
Brahma-vadin,"He who advocates that there is one existence alone, viz., Param Brahman.",Glossary_Sanskrit_Terms.pdf,43
Brahma-vakya,"Divine revelation, such as the Upanishads.",Glossary_Sanskrit_Terms.pdf,43
Brahma-vichara,Enquiry into Brahman.,Glossary_Sanskrit_Terms.pdf,43
Brahmavidvara,One who has reached the fifth Jnana Bhumika or Asamsakti.,Glossary_Sanskrit_Terms.pdf,43
Brahmavidvarishtha,A full-blown Jnani; a Jivanmukta who has attained to the seventh Jnana-Bhumika or Turiya.,Glossary_Sanskrit_Terms.pdf,43
Brahmavidvariya,One who functions in the sixth Jnana- bhumika or Padartha-abhavana.,Glossary_Sanskrit_Terms.pdf,43
Brahmavidya,Science of Brahman; knowledge of Brahman; learning pertaining to Brahman or the Absolute Reality.,Glossary_Sanskrit_Terms.pdf,43
Brahmavit,Knower of Brahman; one who is in the fourth Jnana-bhumika or Sattvapatti.,Glossary_Sanskrit_Terms.pdf,44
Brahma-Yoga,Wherein the Yogi finds himself and the whole universe as Brahman.,Glossary_Sanskrit_Terms.pdf,44
Brahmopasana,Worship of the Infinite Brahman.,Glossary_Sanskrit_Terms.pdf,44
Brihat,Large; big; absolute.,Glossary_Sanskrit_Terms.pdf,44
Brihat-brahmanda,Great macrocosm.,Glossary_Sanskrit_Terms.pdf,44
Brihattva,Vastness; largeness; absoluteness.,Glossary_Sanskrit_Terms.pdf,44
Bubhuksha,Desire to eat; hunger; will to enjoy.,Glossary_Sanskrit_Terms.pdf,44
Buddha,The enlightened one; full of knowledge.,Glossary_Sanskrit_Terms.pdf,44
Buddhi,Intellect; understanding; reason.,Glossary_Sanskrit_Terms.pdf,44
Buddhi-sakti,Intellectual power.,Glossary_Sanskrit_Terms.pdf,44
Buddhi-suddhi,Purity of intellect.,Glossary_Sanskrit_Terms.pdf,44
Buddhi-tattva,Principle of intelligence.,Glossary_Sanskrit_Terms.pdf,44
Buddhi-vyapara,Functioning of the intellect. C,Glossary_Sanskrit_Terms.pdf,44
Chaarana,A class of superhuman beings.,Glossary_Sanskrit_Terms.pdf,44
Chaitanya,The consciousness that knows itself an knows others; absolute consciousness.,Glossary_Sanskrit_Terms.pdf,44
Chaitanyamayi,Full of (all-) consciousness; an at tribute of Maya.,Glossary_Sanskrit_Terms.pdf,44
Chaitanya-samadhi,The state of superconsciousness which is marked by absolute self-awareness and illumi- nation as distinguished from Jada-samadhi in which there is no such awareness.,Glossary_Sanskrit_Terms.pdf,44
Chakra,Plexus; centre of psychic energy in the human system.,Glossary_Sanskrit_Terms.pdf,44
Chakrayudha,The weapon or discus of Lord Vishnu or Sri,Glossary_Sanskrit_Terms.pdf,44
Chakshu,Eye; the subtle organ of sight; sense of seeing.,Glossary_Sanskrit_Terms.pdf,45
Chala,Quibble.,Glossary_Sanskrit_Terms.pdf,45
Chanchala,Wavering; fickle.,Glossary_Sanskrit_Terms.pdf,45
Chanchalatva,Fickleness; tossing of the mind.,Glossary_Sanskrit_Terms.pdf,45
Chanchalavritti,The natural wavering tendency of the mind.,Glossary_Sanskrit_Terms.pdf,45
Chandranadi,Ida; the lunar psychic current that flows through the left nostril.,Glossary_Sanskrit_Terms.pdf,45
Chandrayana-vrata,"This is an observance in which, beginning with 15 morsels of food on a full-moon day, a person lessens them one by one daily, until he takes no food on the new moon day; and again increases them one by one till he reaches the same 15 morsels on the next full-moon day.",Glossary_Sanskrit_Terms.pdf,45
Chapalata,Activity; craving; fickleness.,Glossary_Sanskrit_Terms.pdf,45
Chara,Capable of moving about; unstable.,Glossary_Sanskrit_Terms.pdf,45
Charana,Foot; one-fourth; conduct.,Glossary_Sanskrit_Terms.pdf,45
Charanamrita,Water sanctified by the feet of a deity or of a holy man.,Glossary_Sanskrit_Terms.pdf,45
Charu,"A preparation of boiled rice, milk, sugar and ghee, to be offered into the fire for gods; a Sattvic regimen usually taken by Yoga-practitioners and celibates.",Glossary_Sanskrit_Terms.pdf,45
Charvaka,The founder of the materialistic school of philosophy; pertaining to his school of thought.,Glossary_Sanskrit_Terms.pdf,45
Chaturvarga,"Fourfold aims, viz., Dharma, Artha, Kama, and Moksha.",Glossary_Sanskrit_Terms.pdf,45
Chaturyuga,"The four ages of the Hindu world-cycle, viz., Krita, Treta, Dvapara and Kali.",Glossary_Sanskrit_Terms.pdf,45
Cheshta,Endeavour; effort; activity.,Glossary_Sanskrit_Terms.pdf,45
Chetas,Subconscious mind.,Glossary_Sanskrit_Terms.pdf,46
Chidabhasa,Reflected consciousness; the reflection of intelligence (Jiva).,Glossary_Sanskrit_Terms.pdf,46
Chidabhasa-chaitanya,Reflection of consciousness from Kutastha-Brahman.,Glossary_Sanskrit_Terms.pdf,46
Chidakasa,"Brahman in Its aspect as limitless knowledge; unbounded intelligence. This is a familiar concept of the Upanishads. It is not meant that the physical ether is consciousness. The Pure Consciousness (Chit) is like the ether (Akasa), an all-pervading continuum.",Glossary_Sanskrit_Terms.pdf,46
Chidananda,Consciousness-Bliss.,Glossary_Sanskrit_Terms.pdf,46
Chinmatra,Mere Consciousness; Consciousness alone.,Glossary_Sanskrit_Terms.pdf,46
Chinmatroham,I am Chinmatra; I am Pure Consciousness alone.,Glossary_Sanskrit_Terms.pdf,46
Chinmaya,Full of Consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chinta,Sorrow; worry.,Glossary_Sanskrit_Terms.pdf,46
Chintana,Thinking; reflecting.,Glossary_Sanskrit_Terms.pdf,46
Chiranjivi,One who has gained deathlessness.,Glossary_Sanskrit_Terms.pdf,46
Chit,The principle of universal intelligence or consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chit-dharma,The essential quality or nature of the mind.,Glossary_Sanskrit_Terms.pdf,46
Chit-ghana,Mass of Consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chitsakti,Power of intelligence.,Glossary_Sanskrit_Terms.pdf,46
Chitsamanya,Basic universal consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chitsunya,Grand vacuity; immaterial consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chitsvarupa,Of the very form of pure intelligence or consciousness.,Glossary_Sanskrit_Terms.pdf,46
Chitta,Mind-stuff; subconscious mind.,Glossary_Sanskrit_Terms.pdf,46
Chittakasa,Mental ether; mind conceived of as ether (all- pervading).,Glossary_Sanskrit_Terms.pdf,46
Chittaprasadana,Peace or tranquillity of mind.,Glossary_Sanskrit_Terms.pdf,47
Chittasuddhi,Purification of the mind; purity of conscience.,Glossary_Sanskrit_Terms.pdf,47
Chittavidya,Psychology; science of the mind and the sub- conscience.,Glossary_Sanskrit_Terms.pdf,47
Chittavimukti,Freedom from the bondage of the mind. D,Glossary_Sanskrit_Terms.pdf,47
Dagdhavastha,"State of being burnt up by the fire of knowledge; Jivanmukti in which all Karmas, ignorance and all Samskaras get burnt up, and the sage functions with past momentum without being subject to ignorance or Karma. He appears to be embodied though he is not attached to the body.",Glossary_Sanskrit_Terms.pdf,47
Daharakasa,Knowledge-space; ether of the heart.,Glossary_Sanskrit_Terms.pdf,47
Daitya,A class of mighty beings in whom the diabolical quality predominates; the demons of Hindu Puranas; giant.,Glossary_Sanskrit_Terms.pdf,47
Daiva,God who controls all beings and gives them what is their due; fate; destiny; controlling power.,Glossary_Sanskrit_Terms.pdf,47
Daivavani,Heavenly voice (actually heard by pure souls).,Glossary_Sanskrit_Terms.pdf,47
Daivi,"Same as Divya, divine.",Glossary_Sanskrit_Terms.pdf,47
Daivisampat,Divine wealth; divine qualities.,Glossary_Sanskrit_Terms.pdf,47
Daksha,Expert; intelligent; wise; able.,Glossary_Sanskrit_Terms.pdf,47
Dambha,Hypocrisy; pride.,Glossary_Sanskrit_Terms.pdf,47
Dana,Charity; giving.,Glossary_Sanskrit_Terms.pdf,47
Danda,The staff of a mendicant or a Sannyasin; a kind of physical exercise common in India; punishment.,Glossary_Sanskrit_Terms.pdf,47
Dandasakti,Sceptre; the rod of power; power through autocracy or punishment.,Glossary_Sanskrit_Terms.pdf,47
Dantadhauti,Cleaning of the teeth.,Glossary_Sanskrit_Terms.pdf,48
Darasutaishana,Desire for wife and son (children).,Glossary_Sanskrit_Terms.pdf,48
Darbha,A kind of grass held sacred for religious and spiri- tual purposes.,Glossary_Sanskrit_Terms.pdf,48
Darna,Control of the outer senses; one of the sixfold virtues of the Niyama of Raja Yoga.,Glossary_Sanskrit_Terms.pdf,48
Darpa,Arrogance; pride.,Glossary_Sanskrit_Terms.pdf,48
Darsana,Insight; way of seeing; vision; system of philo- sophy; making visible.,Glossary_Sanskrit_Terms.pdf,48
Dasa,Slave; servant.,Glossary_Sanskrit_Terms.pdf,48
Dasavadhana,Doing ten things at a time.,Glossary_Sanskrit_Terms.pdf,48
Dasya,The attitude of a devotee expressing the relationship of a servant with God.,Glossary_Sanskrit_Terms.pdf,48
Datta,Given; adopted; give.,Glossary_Sanskrit_Terms.pdf,48
Daurmanasya,Despair; evil disposition.,Glossary_Sanskrit_Terms.pdf,48
Daya,Mercy; compassion.,Glossary_Sanskrit_Terms.pdf,48
Deha,Physical body.,Glossary_Sanskrit_Terms.pdf,48
Dehabhimana,Egoistic attachment to the body.,Glossary_Sanskrit_Terms.pdf,48
Dehadhyasa,False identification with the body.,Glossary_Sanskrit_Terms.pdf,48
Dehasuddhi,Purity or purification of the body.,Glossary_Sanskrit_Terms.pdf,48
Dehatma-buddhi,The intellect that makes one to identify the Self with the body.,Glossary_Sanskrit_Terms.pdf,48
Dehavidya,Physiology.,Glossary_Sanskrit_Terms.pdf,48
Dehi,One who has a body; the conscious embodied self; Jiva or the individual soul.,Glossary_Sanskrit_Terms.pdf,48
Desa,Place; space; country.,Glossary_Sanskrit_Terms.pdf,48
Desa-kala,Space-time.,Glossary_Sanskrit_Terms.pdf,48
Desa-kala-sambandha,Extended in space and located in time; having connection with space and time; space-time relation.,Glossary_Sanskrit_Terms.pdf,48
Desatita,Spaceless; beyond space.,Glossary_Sanskrit_Terms.pdf,49
Devaloka,One of the higher subtler worlds; the world of the gods or the celestials.,Glossary_Sanskrit_Terms.pdf,49
Devata,The deity that receives the worship of men and gives them what they desire. The term is also applied to the Lord Who receives the worship of all and gives them what they seek. He is known as the highest Devata.,Glossary_Sanskrit_Terms.pdf,49
Devayajna,"One of the five daily sacrificial rites enjoined on all householders, in which oblations are offered to various deities.",Glossary_Sanskrit_Terms.pdf,49
Devayana,The path of the gods. One of the paths taken by the Jiva after leaving the physical body.,Glossary_Sanskrit_Terms.pdf,49
Dhairya,Boldness; courage.,Glossary_Sanskrit_Terms.pdf,49
Dhana,Wealth; riches.,Glossary_Sanskrit_Terms.pdf,49
Dhanadhanyabala,Money-and grain-power; power of estate and wealth.,Glossary_Sanskrit_Terms.pdf,49
Dhanurasana,Bow-posture of the Hatha-yogins.,Glossary_Sanskrit_Terms.pdf,49
Dhara,Stream; continuous repetition.,Glossary_Sanskrit_Terms.pdf,49
Dharana,Concentration of mind.,Glossary_Sanskrit_Terms.pdf,49
Dharanasakti,Power of grasping and retaining the ideas.,Glossary_Sanskrit_Terms.pdf,49
Dharanayoga,"The Yoga of concentration, before the stage of Dhyana and Samadhi.",Glossary_Sanskrit_Terms.pdf,49
Dharma,"Righteous way of living, as enjoined by the sacred scriptures; characteristics; virtue.",Glossary_Sanskrit_Terms.pdf,49
Dharmadasa,Slave of duty; lawful slave.,Glossary_Sanskrit_Terms.pdf,49
Dharmameghasamadhi,"The state of superconsciousness or Samadhi is called ‘cloud of virtue’ in as much as it showers nectar drops of immortality through knowledge of Brahman, when all the hosts of Vasanas are entirely destroyed. The cloud of virtue is the name given to",Glossary_Sanskrit_Terms.pdf,49
Dharmaparishat,Assembly of the wise.,Glossary_Sanskrit_Terms.pdf,50
Dharmi,Substratum; that which possesses the Dharma.,Glossary_Sanskrit_Terms.pdf,50
Dhatu,"Element; metal; the vital force in man by conserving which, through celibacy, the Yogi develops Ojas and Tejas.",Glossary_Sanskrit_Terms.pdf,50
Dhauti,The exercise for cleaning the stomach in Hatha Yoga.,Glossary_Sanskrit_Terms.pdf,50
Dhira,Steadfast; bold; courageous.,Glossary_Sanskrit_Terms.pdf,50
Dhivasana,"The mind which assumes the finest stage and which then contains in bud-like form all the impressions of actions, has its Vasanas called thus.",Glossary_Sanskrit_Terms.pdf,50
Dhriti,(Spiritual) patience and firmness.,Glossary_Sanskrit_Terms.pdf,50
Dhumamarga,"The path of smoke, as distinguished from the path of light, taken by the Jiva in its heavenward journey; Pitriyana or the path of the manes.",Glossary_Sanskrit_Terms.pdf,50
Dhvamsabhava,Non-existence at the third moment from its beginning.,Glossary_Sanskrit_Terms.pdf,50
Dhvani,Tone; sound; the subtle aspect of the vital Sakti of the Jiva in the vibration.,Glossary_Sanskrit_Terms.pdf,50
Dhvanyatmakasabda,Unlettered sound caused by the striking of two things together which is meaningless.,Glossary_Sanskrit_Terms.pdf,50
Dhyana,Meditation; contemplation.,Glossary_Sanskrit_Terms.pdf,50
Dhyanagamya,Attainable through meditation.,Glossary_Sanskrit_Terms.pdf,50
Dhyanika,Pertaining to Dhyana or meditation.,Glossary_Sanskrit_Terms.pdf,50
Dhyeya,Object of meditation or worship; purpose behind action.,Glossary_Sanskrit_Terms.pdf,50
Dhyeyarupa,The form for the purpose of meditation.,Glossary_Sanskrit_Terms.pdf,50
Dhyeyatyaga,Renunciation of object in meditation; Absolute Experience or Nirvikalpa Samadhi.,Glossary_Sanskrit_Terms.pdf,50
Digambara,Naked; clad with the quarters.,Glossary_Sanskrit_Terms.pdf,50
Digvijaya,"Conquest of the quarters (world), either military or cultural.",Glossary_Sanskrit_Terms.pdf,51
Diksakti,The power of illusion that produces the con- sciousness of space.,Glossary_Sanskrit_Terms.pdf,51
Diksha,Initiation; consecration.,Glossary_Sanskrit_Terms.pdf,51
Dina,Humble; helpless.,Glossary_Sanskrit_Terms.pdf,51
Dinabandhu,"Friend of the poor and the helpless, God.",Glossary_Sanskrit_Terms.pdf,51
Dinacharya,Daily conduct; daily activity.,Glossary_Sanskrit_Terms.pdf,51
Dinadayalu,Merciful towards the helpless.,Glossary_Sanskrit_Terms.pdf,51
Dirgha,Long; prolonged.,Glossary_Sanskrit_Terms.pdf,51
Dirghasvapna,Long dream; usually referred to show the unreal nature of the world.,Glossary_Sanskrit_Terms.pdf,51
Disa,Quarter.,Glossary_Sanskrit_Terms.pdf,51
Dishtam,Unseen power in Karma that links up the act and its fruit; destiny or fate.,Glossary_Sanskrit_Terms.pdf,51
Divya,Divine; heavenly; celestial; sacred; luminous; supernatural.,Glossary_Sanskrit_Terms.pdf,51
Divyachakshu,Divine eye.,Glossary_Sanskrit_Terms.pdf,51
Divyachara,Conduct of the godly ones; a Tantric course of spiritual discipline meant for the pure and advanced aspirants.,Glossary_Sanskrit_Terms.pdf,51
Divyadrishti,Divine vision.,Glossary_Sanskrit_Terms.pdf,51
Divyagandha,Superphysical scent (smell).,Glossary_Sanskrit_Terms.pdf,51
Dosha,Defect; shortcoming.,Glossary_Sanskrit_Terms.pdf,51
Doshadrishti,The vision that perceives defects.,Glossary_Sanskrit_Terms.pdf,51
Drashta,Subject; seer; perceiver.,Glossary_Sanskrit_Terms.pdf,51
Dravata,Liquidity.,Glossary_Sanskrit_Terms.pdf,51
Dravya,Substance.,Glossary_Sanskrit_Terms.pdf,51
Dravyadvaita,Unity of substance or matter.,Glossary_Sanskrit_Terms.pdf,51
Dravyagrahana,Appropriation of things.,Glossary_Sanskrit_Terms.pdf,51
Dridha,Firm; unshaken.,Glossary_Sanskrit_Terms.pdf,52
Dridhabhumi,Well-grounded in any state or state of Yoga.,Glossary_Sanskrit_Terms.pdf,52
Dridhasamskara,Well-grounded mental impression.,Glossary_Sanskrit_Terms.pdf,52
Dridhasushupti,Deep sleep state.,Glossary_Sanskrit_Terms.pdf,52
Dridhata,Firmness.,Glossary_Sanskrit_Terms.pdf,52
Drik,Seer; perceiver; vision.,Glossary_Sanskrit_Terms.pdf,52
Drishta,The visible; seen; that which is perceived.,Glossary_Sanskrit_Terms.pdf,52
Drishtanta,Instance; illustration; example.,Glossary_Sanskrit_Terms.pdf,52
Drishtisrishtivada,"The doctrine holding that the existence of the world is purely the outcome of the faculty of perception, and that actually nothing exists beyond imagination.",Glossary_Sanskrit_Terms.pdf,52
Drisya,Perceived; seen; the world; that which can be seen by the physical sense.,Glossary_Sanskrit_Terms.pdf,52
Drisyaprapancha,Phenomenal world that is visible to the eye.,Glossary_Sanskrit_Terms.pdf,52
Droha,Treachery; offence.,Glossary_Sanskrit_Terms.pdf,52
Duhkha,Pain; misery; sorrow; grief.,Glossary_Sanskrit_Terms.pdf,52
Duhkhajihasa,Wish to avoid pain and sorrow.,Glossary_Sanskrit_Terms.pdf,52
Duradrishti,Distant vision.,Glossary_Sanskrit_Terms.pdf,52
Dushkrita,Demerit; sin; evil action.,Glossary_Sanskrit_Terms.pdf,52
Dushtanigraha,Destruction of the wicked.,Glossary_Sanskrit_Terms.pdf,52
Dvadasanta,"The twelfth centre; the twelfth centre is identified by some with the pituitary centre in the head, there being six centres in the brain, besides the six below the brain.",Glossary_Sanskrit_Terms.pdf,52
Dvaita-advaita-vivarjita,Beyond monism and dualism; destitute of both oneness and twoness or multiplicity.,Glossary_Sanskrit_Terms.pdf,52
Dvaita-bhava,Feeling of duality.,Glossary_Sanskrit_Terms.pdf,52
Dvaitavada,Dualism; the doctrine of dual existence,Glossary_Sanskrit_Terms.pdf,52
Dvandva,Pair of opposites.,Glossary_Sanskrit_Terms.pdf,53
Dvandvata,State of duality.,Glossary_Sanskrit_Terms.pdf,53
Dvandvatita,"Beyond the pairs of opposites, like heat and cold, hunger and thirst, pleasure and pain, etc.",Glossary_Sanskrit_Terms.pdf,53
Dvarakarana,"Intermediate cause; Maya is supposed to be an intermediate cause of the universe, as the unchanging Brahman cannot be an independent cause. That which is not actually the cause but simply a conveying factor of the chief cause, is often found to inhere in the effect. As, for instance, smoothness, etc., of the earth, the actual material cause, are found to exist in the jar, the real effect. They are the intermediate causes, so to say, acting between earth, the actual cause, and the jar, the real effect.",Glossary_Sanskrit_Terms.pdf,53
Dvayam,Two; pair.,Glossary_Sanskrit_Terms.pdf,53
Dvesha,Repulsion; hatred; dislike.,Glossary_Sanskrit_Terms.pdf,53
Dvija,A term used to denote generally the first three of the four castes in Hindu society; twice-born; a Brahmana.,Glossary_Sanskrit_Terms.pdf,53
Dviparardha,The two halves of Brahma’s life.,Glossary_Sanskrit_Terms.pdf,53
Dvyanuka,Diatom. E,Glossary_Sanskrit_Terms.pdf,53
Eka,One.,Glossary_Sanskrit_Terms.pdf,53
Ekabhavika,Unigenital; uninatal; of the same source or nature.,Glossary_Sanskrit_Terms.pdf,53
Ekadandi,A Sannyasin who holds one staff only.,Glossary_Sanskrit_Terms.pdf,53
Ekadasi,Eleventh day of the Hindu lunar fortnight.,Glossary_Sanskrit_Terms.pdf,53
Ekadesika,One-sided; localised.,Glossary_Sanskrit_Terms.pdf,53
